standard,mcs,bw,mode,mean_db,std_db,max_db,preamble_frac,trials
ht,0,20,data,11.7412220538867,0.593720664059793,13.6469288005552,0,300
ht,1,20,data,11.1958663118432,0.385894399667164,13.2674470114827,0,300
ht,2,20,data,11.2217383949941,0.368190683019362,13.1823430456325,0,300
ht,3,20,data,11.2633549842969,0.336170133126369,12.2843629628955,0,300
ht,4,20,data,11.2864450463703,0.344652033550854,12.3654683796021,0,300
ht,5,20,data,11.2399203146896,0.356711063833101,12.6345305799638,0,300
ht,6,20,data,11.3067079636679,0.354852390070955,12.4162119252075,0,300
ht,7,20,data,11.2754553577348,0.361977509369688,12.8274200788142,0,300
ht,0,40,data,11.7733974290612,0.485462079824849,13.6885378412347,0,300
ht,1,40,data,11.6074562645199,0.354107572796801,13.2603449927517,0,300
ht,2,40,data,11.5856913240495,0.340284233188057,12.9686068908109,0,300
ht,3,40,data,11.6001281408234,0.364192651685339,13.0123476612157,0,300
ht,4,40,data,11.6220857925911,0.334725954973953,12.8418331012765,0,300
ht,5,40,data,11.621753170957,0.363598164417361,12.8493279730554,0,300
ht,6,40,data,11.5997116560913,0.37285762258249,13.1102914615345,0,300
ht,7,40,data,11.6368996278305,0.363203875741149,12.7387774871469,0,300
vht,0,20,data,11.6706526858043,0.56460913194158,13.6431090496566,0,300
vht,1,20,data,11.2274365282576,0.349650691588765,12.4434197166079,0,300
vht,2,20,data,11.1536406811434,0.31990750676298,12.219147862247,0,300
vht,3,20,data,11.2736290208011,0.369272625976363,12.6674443652621,0,300
vht,4,20,data,11.2437121885941,0.345360895146366,12.9140158577235,0,300
vht,5,20,data,11.2588825462782,0.374946822363602,12.674937650645,0,300
vht,6,20,data,11.3124649277645,0.381900744761476,13.2130303941204,0,300
vht,7,20,data,11.2827734336717,0.377038059251607,13.3661925709627,0,300
vht,8,20,data,11.2867015775041,0.374528439623368,12.5241477235503,0,300
vht,0,40,data,11.8029236305991,0.447916616920969,13.5247873059631,0,300
vht,1,40,data,11.5895486044062,0.35645376658368,12.9243785953379,0,300
vht,2,40,data,11.5739637206343,0.36236913812679,13.0244695548916,0,300
vht,3,40,data,11.6177145222185,0.369457153043387,12.9231040429791,0,300
vht,4,40,data,11.5974694145876,0.358092517447939,13.1278793797952,0,300
vht,5,40,data,11.6043558562088,0.358731920961786,12.7544201767443,0,300
vht,6,40,data,11.6248763173873,0.346836706598571,12.9467173240282,0,300
vht,7,40,data,11.6071414638723,0.367420287159766,12.9570463919331,0,300
vht,8,40,data,11.6007849419778,0.348031523674735,12.8680310087796,0,300
vht,9,40,data,11.6093221441944,0.35375659291181,12.8095389096839,0,300
vht,0,80,data,12.1611183410659,0.536266834868759,14.0038539556992,0,300
vht,1,80,data,11.8797506447636,0.366941425566347,13.0077468126849,0,300
vht,2,80,data,11.8893131381711,0.346193442687015,12.858186383277,0,300
vht,3,80,data,11.8648803765807,0.344814620532791,12.9407234285664,0,300
vht,4,80,data,11.8641258358366,0.336772161387267,13.4360353991569,0,300
vht,5,80,data,11.8455650013608,0.334384476314005,13.3028560994384,0,300
vht,6,80,data,11.8809337385107,0.359924419185173,13.5580186159809,0,300
vht,7,80,data,11.9028074567143,0.332806760632016,13.1103300029099,0,300
vht,8,80,data,11.8475151764143,0.333158245584882,12.8740282566666,0,300
vht,9,80,data,11.8377243100427,0.359908934316158,13.1155731527917,0,300
vht,0,160,data,12.3372308633694,0.515952712878799,14.1349041851981,0,300
vht,1,160,data,12.1122206896553,0.356865305356053,13.4334638944978,0,300
vht,2,160,data,12.0827396197686,0.316768417308949,13.2380977346998,0,300
vht,3,160,data,12.1468244168735,0.358350120410787,13.7567083457343,0,300
vht,4,160,data,12.1379788355111,0.337375344007168,14.118292470662,0,300
vht,5,160,data,12.1164088951628,0.329453045398343,13.4664749387432,0,300
vht,6,160,data,12.1315825418787,0.346420869964197,13.2975336362044,0,300
vht,7,160,data,12.1461697767392,0.341218332044413,13.3571585208955,0,300
